state,gadm_name,edgar_sector,ipcc_2006,year,KtCO2e
Colima,Colima,PRU_SOL,2.D-2G,2024,197.0108
Colima,Colima,RCO,1.A.4,2024,199.1287
Colima,Colima,REF_TRF,1.A.1.bc,2024,192.0151
Colima,Colima,SWD_INC,4.C,2024,4.6484
Colima,Colima,SWD_LDF,4.A,2024,4.2066
Colima,Colima,TNR_Aviation_CDS,1.A.3.a,2024,2.4134
Colima,Colima,TNR_Aviation_CRS,1.A.3.a,2024,0.0014
Colima,Colima,TNR_Aviation_LTO,1.A.3.a,2024,5.7089
Colima,Colima,TNR_Other,1.A.3.ce,2024,10.3927
Colima,Colima,TNR_Ship,1.A.3.d,2024,39.2712
Colima,Colima,TRO,1.A.3.b,2024,682.6737
Colima,Colima,WWT,4.D,2024,66.2776
Durango,Durango,AGS,3.C,2024,1187.5885
Durango,Durango,AWB,3.C.1b,2024,15.3548
Durango,Durango,CHE,2.B,2024,44.6582
Durango,Durango,ENE,1.A.1.a,2024,3377.32
Durango,Durango,ENF,3.A.1,2024,18006.382
Durango,Durango,IDE,5.A,2024,123.6776
Durango,Durango,IND,1.A.2,2024,193.0679
Durango,Durango,IRO,2.C,2024,0.0
Durango,Durango,MNM,3.A.2,2024,2561.768
Durango,Durango,N2O,3.C.5-6,2024,218.905
Durango,Durango,NEU,2.D,2024,1.606
Durango,Durango,NFE,2.C,2024,2.2041
Durango,Durango,NMM,2.A,2024,0.1065
Durango,Durango,PRO_FFF,1.B,2024,41.419
Durango,Durango,PRU_SOL,2.D-2G,2024,308.2935
Durango,Durango,RCO,1.A.4,2024,603.9269
Durango,Durango,REF_TRF,1.A.1.bc,2024,298.6575
Durango,Durango,SWD_INC,4.C,2024,7.23
Durango,Durango,SWD_LDF,4.A,2024,22338.228
Durango,Durango,TNR_Aviation_CDS,1.A.3.a,2024,18.3137
Durango,Durango,TNR_Aviation_CRS,1.A.3.a,2024,142.9895
Durango,Durango,TNR_Aviation_LTO,1.A.3.a,2024,3.8142
Durango,Durango,TNR_Other,1.A.3.ce,2024,64.554
Durango,Durango,TNR_Ship,1.A.3.d,2024,0.0
Durango,Durango,TRO,1.A.3.b,2024,4632.547
Durango,Durango,WWT,4.D,2024,103.0873
Estado de México,México,AGS,3.C,2022,902.2205
Estado de México,México,AWB,3.C.1b,2022,41.7039
Estado de México,México,CHE,2.B,2022,387.3016
Estado de México,México,ENE,1.A.1.a,2022,5585.184
Estado de México,México,ENF,3.A.1,2022,911.1967
Estado de México,México,IDE,5.A,2022,32.9379
Estado de México,México,IND,1.A.2,2022,2265.5363
Estado de México,México,IRO,2.C,2022,21.7804
Estado de México,México,MNM,3.A.2,2022,133.9987
Estado de México,México,N2O,3.C.5-6,2022,89.2084
Estado de México,México,NEU,2.D,2022,13.6435
Estado de México,México,NFE,2.C,2022,16.2894
Estado de México,México,NMM,2.A,2022,1614.3066
Estado de México,México,PRO_FFF,1.B,2022,51.2923
Estado de México,México,PRU_SOL,2.D-2G,2022,2621.7892
Estado de México,México,RCO,1.A.4,2022,4129.368
Estado de México,México,REF_TRF,1.A.1.bc,2022,2724.2145
Estado de México,México,SWD_INC,4.C,2022,66.3556
Estado de México,México,SWD_LDF,4.A,2022,366.021
Estado de México,México,TNR_Aviation_CDS,1.A.3.a,2022,297.1177
Estado de México,México,TNR_Aviation_CRS,1.A.3.a,2022,3.8211
Estado de México,México,TNR_Aviation_LTO,1.A.3.a,2022,164.5127
Estado de México,México,TNR_Other,1.A.3.ce,2022,48.9713
Estado de México,México,TNR_Ship,1.A.3.d,2022,0.0
Estado de México,México,TRO,1.A.3.b,2022,6680.729
Estado de México,México,WWT,4.D,2022,956.5546
Estado de México,México,AGS,3.C,2023,900.28
Estado de México,México,AWB,3.C.1b,2023,41.9349
Estado de México,México,CHE,2.B,2023,370.1204
Estado de México,México,ENE,1.A.1.a,2023,6610.7
Estado de México,México,ENF,3.A.1,2023,915.5092
Estado de México,México,IDE,5.A,2023,33.8281
Estado de México,México,IND,1.A.2,2023,2281.7505
Estado de México,México,IRO,2.C,2023,18.0319
Estado de México,México,MNM,3.A.2,2023,135.4667
Estado de México,México,N2O,3.C.5-6,2023,89.1086
Estado de México,México,NEU,2.D,2023,14.0803
Estado de México,México,NFE,2.C,2023,16.6901
Estado de México,México,NMM,2.A,2023,1592.6804
Estado de México,México,PRO_FFF,1.B,2023,52.064
Estado de México,México,PRU_SOL,2.D-2G,2023,2719.5988
Estado de México,México,RCO,1.A.4,2023,3888.9153
Estado de México,México,REF_TRF,1.A.1.bc,2023,2770.375
Estado de México,México,SWD_INC,4.C,2023,66.2358
Estado de México,México,SWD_LDF,4.A,2023,370.3421
Estado de México,México,TNR_Aviation_CDS,1.A.3.a,2023,357.8643
Estado de México,México,TNR_Aviation_CRS,1.A.3.a,2023,4.4683
Estado de México,México,TNR_Aviation_LTO,1.A.3.a,2023,198.3325
Estado de México,México,TNR_Other,1.A.3.ce,2023,49.0597
Estado de México,México,TNR_Ship,1.A.3.d,2023,0.0
Estado de México,México,TRO,1.A.3.b,2023,6495.758
Estado de México,México,WWT,4.D,2023,947.7275
Estado de México,México,AGS,3.C,2024,891.7405
Estado de México,México,AWB,3.C.1b,2024,39.9551
Estado de México,México,CHE,2.B,2024,369.6044
Estado de México,México,ENE,1.A.1.a,2024,6351.014
Estado de México,México,ENF,3.A.1,2024,913.7426
Estado de México,México,IDE,5.A,2024,35.345
Estado de México,México,IND,1.A.2,2024,2296.3045
Estado de México,México,IRO,2.C,2024,14.4236
Estado de México,México,MNM,3.A.2,2024,136.8673
Estado de México,México,N2O,3.C.5-6,2024,88.5671
Estado de México,México,NEU,2.D,2024,14.9281
Estado de México,México,NFE,2.C,2024,17.3546
Estado de México,México,NMM,2.A,2024,1592.6804
Estado de México,México,PRO_FFF,1.B,2024,52.817
Estado de México,México,PRU_SOL,2.D-2G,2024,2856.369
Estado de México,México,RCO,1.A.4,2024,3916.9625
Estado de México,México,REF_TRF,1.A.1.bc,2024,2776.0003
Estado de México,México,SWD_INC,4.C,2024,67.2025
Estado de México,México,SWD_LDF,4.A,2024,375.7445
Estado de México,México,TNR_Aviation_CDS,1.A.3.a,2024,384.9877
Estado de México,México,TNR_Aviation_CRS,1.A.3.a,2024,4.7992
Estado de México,México,TNR_Aviation_LTO,1.A.3.a,2024,213.3764
Estado de México,México,TNR_Other,1.A.3.ce,2024,49.4928
Estado de México,México,TNR_Ship,1.A.3.d,2024,0.0
Estado de México,México,TRO,1.A.3.b,2024,6553.074
Estado de México,México,WWT,4.D,2024,958.1901
Guanajuato,Guanajuato,AGS,3.C,2023,1208.1933
Guanajuato,Guanajuato,AWB,3.C.1b,2023,50.9184
Guanajuato,Guanajuato,CHE,2.B,2023,402.3849
Guanajuato,Guanajuato,ENE,1.A.1.a,2023,4697.9715
Guanajuato,Guanajuato,ENF,3.A.1,2023,1162.744
Guanajuato,Guanajuato,IDE,5.A,2023,42.1124
Guanajuato,Guanajuato,IND,1.A.2,2023,3333.2375
Guanajuato,Guanajuato,IRO,2.C,2023,75.2652
Guanajuato,Guanajuato,MNM,3.A.2,2023,238.9312
Guanajuato,Guanajuato,N2O,3.C.5-6,2023,116.0891
Guanajuato,Guanajuato,NEU,2.D,2023,6.6455
Guanajuato,Guanajuato,NFE,2.C,2023,8.0383
Guanajuato,Guanajuato,NMM,2.A,2023,0.4679
Guanajuato,Guanajuato,PRO_FFF,1.B,2023,71.0174
Guanajuato,Guanajuato,PRU_SOL,2.D-2G,2023,1282.9181
Guanajuato,Guanajuato,RCO,1.A.4,2023,1855.9
Guanajuato,Guanajuato,REF_TRF,1.A.1.bc,2023,4680.432
Guanajuato,Guanajuato,SWD_INC,4.C,2023,31.2615
Guanajuato,Guanajuato,SWD_LDF,4.A,2023,780.2484
Guanajuato,Guanajuato,TNR_Aviation_CDS,1.A.3.a,2023,50.5508
Guanajuato,Guanajuato,TNR_Aviation_CRS,1.A.3.a,2023,20.2564
Guanajuato,Guanajuato,TNR_Aviation_LTO,1.A.3.a,2023,14.1296
Guanajuato,Guanajuato,TNR_Other,1.A.3.ce,2023,82.987
Guanajuato,Guanajuato,TNR_Ship,1.A.3.d,2023,0.0
Guanajuato,Guanajuato,TRO,1.A.3.b,2023,4407.7805
Guanajuato,Guanajuato,WWT,4.D,2023,447.3016
Guanajuato,Guanajuato,AGS,3.C,2024,1196.4233
Guanajuato,Guanajuato,AWB,3.C.1b,2024,48.7252
Guanajuato,Guanajuato,CHE,2.B,2024,409.6833
Guanajuato,Guanajuato,ENE,1.A.1.a,2024,6097.0615
Guanajuato,Guanajuato,ENF,3.A.1,2024,1158.9637
Guanajuato,Guanajuato,IDE,5.A,2024,43.9873
Guanajuato,Guanajuato,IND,1.A.2,2024,3336.7337
Guanajuato,Guanajuato,IRO,2.C,2024,60.2043
Guanajuato,Guanajuato,MNM,3.A.2,2024,241.9304
Guanajuato,Guanajuato,N2O,3.C.5-6,2024,115.3633
Guanajuato,Guanajuato,NEU,2.D,2024,7.0456
Guanajuato,Guanajuato,NFE,2.C,2024,8.352
Guanajuato,Guanajuato,NMM,2.A,2024,0.4679
Guanajuato,Guanajuato,PRO_FFF,1.B,2024,70.8302
Guanajuato,Guanajuato,PRU_SOL,2.D-2G,2024,1347.4675
Guanajuato,Guanajuato,RCO,1.A.4,2024,1870.017
Guanajuato,Guanajuato,REF_TRF,1.A.1.bc,2024,4919.11
Guanajuato,Guanajuato,SWD_INC,4.C,2024,31.7178
Guanajuato,Guanajuato,SWD_LDF,4.A,2024,793.0924
Guanajuato,Guanajuato,TNR_Aviation_CDS,1.A.3.a,2024,54.3895
Guanajuato,Guanajuato,TNR_Aviation_CRS,1.A.3.a,2024,21.7636
Guanajuato,Guanajuato,TNR_Aviation_LTO,1.A.3.a,2024,15.2028
Guanajuato,Guanajuato,TNR_Other,1.A.3.ce,2024,83.7196
Guanajuato,Guanajuato,TNR_Ship,1.A.3.d,2024,0.0
Guanajuato,Guanajuato,TRO,1.A.3.b,2024,4446.672
Guanajuato,Guanajuato,WWT,4.D,2024,452.2398
Morelos,Morelos,AGS,3.C,2024,176.8502
Morelos,Morelos,AWB,3.C.1b,2024,11.8592
Morelos,Morelos,CHE,2.B,2024,25.1857
Morelos,Morelos,ENE,1.A.1.a,2024,1158.2423
Morelos,Morelos,ENF,3.A.1,2024,184.7335
Morelos,Morelos,IDE,5.A,2024,7.3624
Morelos,Morelos,IND,1.A.2,2024,643.2425
Morelos,Morelos,IRO,2.C,2024,0.0
Morelos,Morelos,MNM,3.A.2,2024,45.5139
Morelos,Morelos,N2O,3.C.5-6,2024,16.738
Morelos,Morelos,NEU,2.D,2024,1.0172
Morelos,Morelos,NFE,2.C,2024,1.1837
Morelos,Morelos,NMM,2.A,2024,1445.181
Morelos,Morelos,PRO_FFF,1.B,2024,8.6379
Morelos,Morelos,PRU_SOL,2.D-2G,2024,196.8156
Morelos,Morelos,RCO,1.A.4,2024,533.7409
Morelos,Morelos,REF_TRF,1.A.1.bc,2024,189.1629
Morelos,Morelos,SWD_INC,4.C,2024,4.5793
Morelos,Morelos,SWD_LDF,4.A,2024,967.9602
Morelos,Morelos,TNR_Aviation_CDS,1.A.3.a,2024,6.4621
Morelos,Morelos,TNR_Aviation_CRS,1.A.3.a,2024,1.7462
Morelos,Morelos,TNR_Aviation_LTO,1.A.3.a,2024,0.0083
Morelos,Morelos,TNR_Other,1.A.3.ce,2024,15.9552
Morelos,Morelos,TNR_Ship,1.A.3.d,2024,0.0
Morelos,Morelos,TRO,1.A.3.b,2024,1358.2714
Morelos,Morelos,WWT,4.D,2024,65.2932
Querétaro,Querétaro,AGS,3.C,2022,275.4324
Querétaro,Querétaro,AWB,3.C.1b,2022,11.6102
Querétaro,Querétaro,CHE,2.B,2022,105.6858
Querétaro,Querétaro,ENE,1.A.1.a,2022,912.7447
Querétaro,Querétaro,ENF,3.A.1,2022,3244.0185
Querétaro,Querétaro,IDE,5.A,2022,16.3434
Querétaro,Querétaro,IND,1.A.2,2022,482.6923
Querétaro,Querétaro,IRO,2.C,2022,0.0
Querétaro,Querétaro,MNM,3.A.2,2022,544.0789
Querétaro,Querétaro,N2O,3.C.5-6,2022,35.7171
Querétaro,Querétaro,NEU,2.D,2022,3.723
Querétaro,Querétaro,NFE,2.C,2022,4.4706
Querétaro,Querétaro,NMM,2.A,2022,0.2747
Querétaro,Querétaro,PRO_FFF,1.B,2022,14.0177
Querétaro,Querétaro,PRU_SOL,2.D-2G,2022,711.5799
Querétaro,Querétaro,RCO,1.A.4,2022,670.9606
Querétaro,Querétaro,REF_TRF,1.A.1.bc,2022,743.3747
Querétaro,Querétaro,SWD_INC,4.C,2022,18.1069
Querétaro,Querétaro,SWD_LDF,4.A,2022,225.614
Querétaro,Querétaro,TNR_Aviation_CDS,1.A.3.a,2022,7.7836
Querétaro,Querétaro,TNR_Aviation_CRS,1.A.3.a,2022,12.2316
Querétaro,Querétaro,TNR_Aviation_LTO,1.A.3.a,2022,4.3748
Querétaro,Querétaro,TNR_Other,1.A.3.ce,2022,24.425
Querétaro,Querétaro,TNR_Ship,1.A.3.d,2022,0.0
Querétaro,Querétaro,TRO,1.A.3.b,2022,1761.2894
Querétaro,Querétaro,WWT,4.D,2022,261.0215
Querétaro,Querétaro,AGS,3.C,2023,275.3994
Querétaro,Querétaro,AWB,3.C.1b,2023,11.6774
Querétaro,Querétaro,CHE,2.B,2023,106.5647
Querétaro,Querétaro,ENE,1.A.1.a,2023,1193.3829
Querétaro,Querétaro,ENF,3.A.1,2023,3269.409
Querétaro,Querétaro,IDE,5.A,2023,16.7684
Querétaro,Querétaro,IND,1.A.2,2023,513.5067
Querétaro,Querétaro,IRO,2.C,2023,0.0
Querétaro,Querétaro,MNM,3.A.2,2023,552.2778
Querétaro,Querétaro,N2O,3.C.5-6,2023,35.7287
Querétaro,Querétaro,NEU,2.D,2023,4.054
Querétaro,Querétaro,NFE,2.C,2023,4.831
Querétaro,Querétaro,NMM,2.A,2023,0.2851
Querétaro,Querétaro,PRO_FFF,1.B,2023,14.1921
Querétaro,Querétaro,PRU_SOL,2.D-2G,2023,778.5928
Querétaro,Querétaro,RCO,1.A.4,2023,660.1825
Querétaro,Querétaro,REF_TRF,1.A.1.bc,2023,797.6427
Querétaro,Querétaro,SWD_INC,4.C,2023,19.0706
Querétaro,Querétaro,SWD_LDF,4.A,2023,229.843
Querétaro,Querétaro,TNR_Aviation_CDS,1.A.3.a,2023,9.4165
Querétaro,Querétaro,TNR_Aviation_CRS,1.A.3.a,2023,14.5439
Querétaro,Querétaro,TNR_Aviation_LTO,1.A.3.a,2023,5.29
Querétaro,Querétaro,TNR_Other,1.A.3.ce,2023,24.4691
Querétaro,Querétaro,TNR_Ship,1.A.3.d,2023,0.0
Querétaro,Querétaro,TRO,1.A.3.b,2023,1715.4548
Querétaro,Querétaro,WWT,4.D,2023,272.8686
Querétaro,Querétaro,AGS,3.C,2024,272.8898
Querétaro,Querétaro,AWB,3.C.1b,2024,11.2418
Querétaro,Querétaro,CHE,2.B,2024,106.4161
Querétaro,Querétaro,ENE,1.A.1.a,2024,1125.5576
Querétaro,Querétaro,ENF,3.A.1,2024,3245.8322
Querétaro,Querétaro,IDE,5.A,2024,17.517
Querétaro,Querétaro,IND,1.A.2,2024,516.7581
Querétaro,Querétaro,IRO,2.C,2024,0.0
Querétaro,Querétaro,MNM,3.A.2,2024,560.0385
Querétaro,Querétaro,N2O,3.C.5-6,2024,35.5565
Querétaro,Querétaro,NEU,2.D,2024,4.2981
Querétaro,Querétaro,NFE,2.C,2024,5.0223
Querétaro,Querétaro,NMM,2.A,2024,0.2851
Querétaro,Querétaro,PRO_FFF,1.B,2024,14.2924
Querétaro,Querétaro,PRU_SOL,2.D-2G,2024,817.9778
Querétaro,Querétaro,RCO,1.A.4,2024,665.1661
Querétaro,Querétaro,REF_TRF,1.A.1.bc,2024,799.2629
Querétaro,Querétaro,SWD_INC,4.C,2024,19.3489
Querétaro,Querétaro,SWD_LDF,4.A,2024,233.4936
Querétaro,Querétaro,TNR_Aviation_CDS,1.A.3.a,2024,10.1326
Querétaro,Querétaro,TNR_Aviation_CRS,1.A.3.a,2024,15.6352
Querétaro,Querétaro,TNR_Aviation_LTO,1.A.3.a,2024,5.6922
Querétaro,Querétaro,TNR_Other,1.A.3.ce,2024,24.685
Querétaro,Querétaro,TNR_Ship,1.A.3.d,2024,0.0
Querétaro,Querétaro,TRO,1.A.3.b,2024,1730.5908
Querétaro,Querétaro,WWT,4.D,2024,275.8809
San Luis Potosí,San Luis Potosí,AGS,3.C,2024,880.1131
San Luis Potosí,San Luis Potosí,AWB,3.C.1b,2024,49.9905
San Luis Potosí,San Luis Potosí,CHE,2.B,2024,103.6833
San Luis Potosí,San Luis Potosí,ENE,1.A.1.a,2024,6849.302
San Luis Potosí,San Luis Potosí,ENF,3.A.1,2024,4206.494
San Luis Potosí,San Luis Potosí,IDE,5.A,2024,77.4171
San Luis Potosí,San Luis Potosí,IND,1.A.2,2024,3353.4023
San Luis Potosí,San Luis Potosí,IRO,2.C,2024,45.521
San Luis Potosí,San Luis Potosí,MNM,3.A.2,2024,533.1664
San Luis Potosí,San Luis Potosí,N2O,3.C.5-6,2024,144.2552
San Luis Potosí,San Luis Potosí,NEU,2.D,2024,4.1877
San Luis Potosí,San Luis Potosí,NFE,2.C,2024,4.9931
San Luis Potosí,San Luis Potosí,NMM,2.A,2024,9886.181
San Luis Potosí,San Luis Potosí,PRO_FFF,1.B,2024,24.6418
San Luis Potosí,San Luis Potosí,PRU_SOL,2.D-2G,2024,798.7896
San Luis Potosí,San Luis Potosí,RCO,1.A.4,2024,886.9539
San Luis Potosí,San Luis Potosí,REF_TRF,1.A.1.bc,2024,778.7384
San Luis Potosí,San Luis Potosí,SWD_INC,4.C,2024,18.852
San Luis Potosí,San Luis Potosí,SWD_LDF,4.A,2024,17.0631
San Luis Potosí,San Luis Potosí,TNR_Aviation_CDS,1.A.3.a,2024,17.7914
San Luis Potosí,San Luis Potosí,TNR_Aviation_CRS,1.A.3.a,2024,69.7218
San Luis Potosí,San Luis Potosí,TNR_Aviation_LTO,1.A.3.a,2024,5.7005
San Luis Potosí,San Luis Potosí,TNR_Other,1.A.3.ce,2024,93.5617
San Luis Potosí,San Luis Potosí,TNR_Ship,1.A.3.d,2024,0.0
San Luis Potosí,San Luis Potosí,TRO,1.A.3.b,2024,3361.8438
San Luis Potosí,San Luis Potosí,WWT,4.D,2024,268.7962
Tamaulipas,Tamaulipas,AGS,3.C,2022,1516.2576
Tamaulipas,Tamaulipas,AWB,3.C.1b,2022,102.2277
Tamaulipas,Tamaulipas,CHE,2.B,2022,125.6249
Tamaulipas,Tamaulipas,ENE,1.A.1.a,2022,9946.374
