state,gadm_name,edgar_sector,ipcc_2006,year,KtCO2e
Morelos,Morelos,WWT,4.D,2014,56.7507
Guanajuato,Guanajuato,AGS,3.C,2013,1159.4929
Guanajuato,Guanajuato,AWB,3.C.1b,2013,50.46
Guanajuato,Guanajuato,CHE,2.B,2013,729.5883
Guanajuato,Guanajuato,ENE,1.A.1.a,2013,4182.6945
Guanajuato,Guanajuato,ENF,3.A.1,2013,1070.0514
Guanajuato,Guanajuato,IDE,5.A,2013,57.0182
Guanajuato,Guanajuato,IND,1.A.2,2013,5359.13
Guanajuato,Guanajuato,IRO,2.C,2013,77.3262
Guanajuato,Guanajuato,MNM,3.A.2,2013,207.259
Guanajuato,Guanajuato,N2O,3.C.5-6,2013,111.4749
Guanajuato,Guanajuato,NEU,2.D,2013,6.5175
Guanajuato,Guanajuato,NFE,2.C,2013,10.4262
Guanajuato,Guanajuato,NMM,2.A,2013,0.2753
Guanajuato,Guanajuato,PRO_FFF,1.B,2013,69.5417
Guanajuato,Guanajuato,PRU_SOL,2.D-2G,2013,577.6409
Guanajuato,Guanajuato,RCO,1.A.4,2013,1805.7259
Guanajuato,Guanajuato,REF_TRF,1.A.1.bc,2013,5104.267
Guanajuato,Guanajuato,SWD_INC,4.C,2013,21.1972
Guanajuato,Guanajuato,SWD_LDF,4.A,2013,706.4384
Guanajuato,Guanajuato,TNR_Aviation_CDS,1.A.3.a,2013,43.5723
Guanajuato,Guanajuato,TNR_Aviation_CRS,1.A.3.a,2013,17.3145
Guanajuato,Guanajuato,TNR_Aviation_LTO,1.A.3.a,2013,12.1803
Guanajuato,Guanajuato,TNR_Other,1.A.3.ce,2013,93.4539
Guanajuato,Guanajuato,TNR_Ship,1.A.3.d,2013,0.0
Guanajuato,Guanajuato,TRO,1.A.3.b,2013,5322.7465
Guanajuato,Guanajuato,WWT,4.D,2013,306.9886
Tamaulipas,Tamaulipas,AGS,3.C,2013,1461.0988
Tamaulipas,Tamaulipas,AWB,3.C.1b,2013,119.6005
Tamaulipas,Tamaulipas,CHE,2.B,2013,85.969
Tamaulipas,Tamaulipas,ENE,1.A.1.a,2013,12325.355
Tamaulipas,Tamaulipas,ENF,3.A.1,2013,1008.9317
Tamaulipas,Tamaulipas,IDE,5.A,2013,131.1105
Tamaulipas,Tamaulipas,IND,1.A.2,2013,1041.5215
Tamaulipas,Tamaulipas,IRO,2.C,2013,0.0
Tamaulipas,Tamaulipas,MNM,3.A.2,2013,41.1279
Tamaulipas,Tamaulipas,N2O,3.C.5-6,2013,213.2614
Tamaulipas,Tamaulipas,NEU,2.D,2013,6.9057
Tamaulipas,Tamaulipas,NFE,2.C,2013,8.0842
Tamaulipas,Tamaulipas,NMM,2.A,2013,1.2107
Tamaulipas,Tamaulipas,PRO_FFF,1.B,2013,451.0477
Tamaulipas,Tamaulipas,PRU_SOL,2.D-2G,2013,519.5525
Tamaulipas,Tamaulipas,RCO,1.A.4,2013,1120.4265
Tamaulipas,Tamaulipas,REF_TRF,1.A.1.bc,2013,4075.5078
Tamaulipas,Tamaulipas,SWD_INC,4.C,2013,15.705
Tamaulipas,Tamaulipas,SWD_LDF,4.A,2013,10043.23
Tamaulipas,Tamaulipas,TNR_Aviation_CDS,1.A.3.a,2013,6.4102
Tamaulipas,Tamaulipas,TNR_Aviation_CRS,1.A.3.a,2013,50.597
Tamaulipas,Tamaulipas,TNR_Aviation_LTO,1.A.3.a,2013,9.2234
Tamaulipas,Tamaulipas,TNR_Other,1.A.3.ce,2013,90.5582
Tamaulipas,Tamaulipas,TNR_Ship,1.A.3.d,2013,449.3394
Tamaulipas,Tamaulipas,TRO,1.A.3.b,2013,5292.56
Tamaulipas,Tamaulipas,WWT,4.D,2013,242.1874
San Luis Potosí,San Luis Potosí,AGS,3.C,2014,849.6949
San Luis Potosí,San Luis Potosí,AWB,3.C.1b,2014,52.314
San Luis Potosí,San Luis Potosí,CHE,2.B,2014,59.3951
San Luis Potosí,San Luis Potosí,ENE,1.A.1.a,2014,5867.151
San Luis Potosí,San Luis Potosí,ENF,3.A.1,2014,3052.3133
San Luis Potosí,San Luis Potosí,IDE,5.A,2014,88.7947
San Luis Potosí,San Luis Potosí,IND,1.A.2,2014,3862.5485
San Luis Potosí,San Luis Potosí,IRO,2.C,2014,59.8971
San Luis Potosí,San Luis Potosí,MNM,3.A.2,2014,350.5722
San Luis Potosí,San Luis Potosí,N2O,3.C.5-6,2014,138.6852
San Luis Potosí,San Luis Potosí,NEU,2.D,2014,4.2705
San Luis Potosí,San Luis Potosí,NFE,2.C,2014,7.0394
San Luis Potosí,San Luis Potosí,NMM,2.A,2014,4923.502
San Luis Potosí,San Luis Potosí,PRO_FFF,1.B,2014,21.4861
San Luis Potosí,San Luis Potosí,PRU_SOL,2.D-2G,2014,422.6613
San Luis Potosí,San Luis Potosí,RCO,1.A.4,2014,904.7591
San Luis Potosí,San Luis Potosí,REF_TRF,1.A.1.bc,2014,782.4414
San Luis Potosí,San Luis Potosí,SWD_INC,4.C,2014,14.1817
San Luis Potosí,San Luis Potosí,SWD_LDF,4.A,2014,14.1402
San Luis Potosí,San Luis Potosí,TNR_Aviation_CDS,1.A.3.a,2014,14.7056
San Luis Potosí,San Luis Potosí,TNR_Aviation_CRS,1.A.3.a,2014,57.7455
San Luis Potosí,San Luis Potosí,TNR_Aviation_LTO,1.A.3.a,2014,4.7119
San Luis Potosí,San Luis Potosí,TNR_Other,1.A.3.ce,2014,103.4377
San Luis Potosí,San Luis Potosí,TNR_Ship,1.A.3.d,2014,0.0
San Luis Potosí,San Luis Potosí,TRO,1.A.3.b,2014,4097.5255
San Luis Potosí,San Luis Potosí,WWT,4.D,2014,202.4805
