year,ets_total_mt,ets_comb_mt,ets_proc_mt,ng_in_ets_point_mt,ng_in_ets_low_mt,ng_in_ets_high_mt
2020,271.2,229.03921615624026,42.16078384375973,166.95085693936954,156.95513564861187,176.9774445802358
2021,273.0,230.40740910891188,42.59259089108812,168.16397592883862,158.10801529240217,178.26250985296886
2022,275.46630900659767,229.8004046901836,45.665904316414085,167.05514314480303,156.93007222871557,177.2258122321069
2023,274.00004256189845,228.79688369575993,45.20315886613856,169.054580018721,159.01013284602374,179.14531127975755
2024,291.565637868171,244.91390033919578,46.651737528975225,182.07607076665715,171.62770867558777,192.55536791983602
