year,sector,alloc_total_mt,alloc_comb_mt,alloc_proc_mt,comb_frac,ng_share_point,ng_share_low,ng_share_high,ng_co2_in_ets_point_mt,ng_co2_in_ets_low_mt,ng_co2_in_ets_high_mt,extrapolated
2020,electricidad,138.1,138.1,0.0,1.0,0.846762884084833,0.826762884084833,0.866762884084833,116.93795429211544,114.17595429211543,119.69995429211544,False
2021,electricidad,138.1,138.1,0.0,1.0,0.846762884084833,0.826762884084833,0.866762884084833,116.93795429211544,114.17595429211543,119.69995429211544,False
2022,electricidad,133.00539182749395,133.00539182749395,0.0,1.0,0.846762884084833,0.826762884084833,0.866762884084833,112.62402918268207,109.96392134613218,115.28413701923193,True
2023,electricidad,130.74514484625072,130.74514484625072,0.0,1.0,0.846762884084833,0.826762884084833,0.866762884084833,110.7101359301005,108.09523303317549,113.32503882702552,True
2024,electricidad,145.20581613289843,145.20581613289843,0.0,1.0,0.846762884084833,0.826762884084833,0.866762884084833,122.95489565458506,120.05077933192709,125.85901197724303,True
2020,petroleo_gas,35.3,35.3,0.0,1.0,0.8,0.7,0.9,28.24,24.709999999999997,31.77,False
2021,petroleo_gas,35.3,35.3,0.0,1.0,0.8,0.7,0.9,28.24,24.709999999999997,31.77,False
2022,petroleo_gas,32.845278850917516,32.845278850917516,0.0,1.0,0.8,0.7,0.9,26.276223080734013,22.99169519564226,29.560750965825765,True
2023,petroleo_gas,31.411876150294034,31.411876150294034,0.0,1.0,0.8,0.7,0.9,25.12950092023523,21.98831330520582,28.270688535264632,True
2024,petroleo_gas,31.411876150294034,31.411876150294034,0.0,1.0,0.8,0.7,0.9,25.12950092023523,21.98831330520582,28.270688535264632,True
2020,refinacion,17.8,17.8,0.0,1.0,0.5,0.4,0.6,8.9,7.120000000000001,10.68,False
2021,refinacion,17.8,17.8,0.0,1.0,0.5,0.4,0.6,8.9,7.120000000000001,10.68,False
2022,refinacion,19.400762714618544,19.400762714618544,0.0,1.0,0.5,0.4,0.6,9.700381357309272,7.760305085847418,11.640457628771125,True
2023,refinacion,19.226888810257964,19.226888810257964,0.0,1.0,0.5,0.4,0.6,9.613444405128982,7.690755524103186,11.536133286154778,True
2024,refinacion,19.226888810257964,19.226888810257964,0.0,1.0,0.5,0.4,0.6,9.613444405128982,7.690755524103186,11.536133286154778,True
2020,cemento,30.2,2.8487575983917783,27.35124240160822,0.09432972180105227,0.1915927413630404,0.1436945560222803,0.2415161432429584,0.545801277754672,0.40935095831600404,0.6880209481976549,False
2021,cemento,30.2,2.430609560607134,27.769390439392865,0.08048376028500444,0.1827830824545926,0.1370873118409445,0.2335227037875621,0.4442743077313749,0.3332057307985313,0.5676025164448762,False
2022,cemento,32.3941517545498,2.761123197859584,29.633028556690217,0.08523523686561048,0.1764636756841308,0.1323477567630981,0.2257981177897678,0.4872379485110237,0.3654284613832678,0.6234564210623587,True
2023,cemento,32.24578578591661,2.7284074938960385,29.51737829202057,0.0846128393958281,0.165271738957977,0.1239538042184827,0.212479575406709,0.45092865110217434,0.33819648832663063,0.5797308658395133,True
2024,cemento,35.97781943655782,3.3309249271320907,32.646894509425735,0.09258273512116934,0.1915927413630404,0.1436945560222803,0.2415161432429584,0.6381810380637228,0.4786357785477921,0.8044721418327747,True
2020,hierro_acero,14.7,4.43030636526958,10.26969363473042,0.30138138539248843,0.3786352524951931,0.3286352524951931,0.4286352524951931,1.6774701692449085,1.4559548509814295,1.8989854875083874,False
2021,hierro_acero,14.7,4.207493951437351,10.492506048562648,0.2862240783290715,0.3975670782350192,0.3475670782350192,0.4475670782350192,1.6727610769644632,1.4623863793925957,1.8831357745363306,False
2022,hierro_acero,17.87763653701311,6.01101488681085,11.86662165020226,0.3362309595211815,0.4605642976663021,0.4105642976663021,0.5105642976663021,2.768458849605725,2.467908105265183,3.069009593946268,True
2023,hierro_acero,18.968645328950576,7.549324671237106,11.419320657713468,0.39798965821323445,0.5534612969461042,0.5034612969461042,0.6034612969461043,4.178259023610111,3.800792790048255,4.555725257171966,True
2024,hierro_acero,17.062438545929343,7.416222190960012,9.646216354969331,0.43465195030573933,0.5563315097034485,0.5063315097034484,0.6063315097034485,4.125878087793,3.7550669782449986,4.496689197341,True
2020,industria_quimica,7.0,5.161166883623018,1.838833116376982,0.7373095548032883,0.3786352524951931,0.3286352524951931,0.4286352524951931,1.9541997261504302,1.6961413819692794,2.2122580703315813,False
2021,industria_quimica,7.0,5.3292342794468635,1.6707657205531363,0.7613191827781234,0.3975670782350192,0.3475670782350192,0.4475670782350192,2.118728101709597,1.8522663877372543,2.38518981568194,False
2022,industria_quimica,7.8251022335997344,6.250978931299465,1.5741233023002692,0.7988367109708502,0.4605642976663021,0.4105642976663021,0.5105642976663021,2.8789777212207897,2.5664287746558165,3.1915266677857628,True
2023,industria_quimica,7.913307969466205,6.304909639526579,1.608398329939626,0.7967476640431926,0.5534612969461042,0.5034612969461042,0.6034612969461043,3.489523466220375,3.1742779842440454,3.804768948196704,True
2024,industria_quimica,8.080068106815315,6.470488768299926,1.6095793385153883,0.8007963154224217,0.5563315097034485,0.5063315097034484,0.6063315097034485,3.599736784987505,3.276212346572508,3.9232612234025015,True
2020,petroquimica,5.7,4.299957988997935,1.4000420110020653,0.7543785945610412,0.3786352524951931,0.3286352524951931,0.4286352524951931,1.6281156788829558,1.4131177794330592,1.8431135783328525,False
2021,petroquimica,5.7,4.514040950311436,1.1859590496885635,0.7919370088265678,0.3975670782350192,0.3475670782350192,0.4475670782350192,1.7946340716485472,1.5689320241329754,2.020336119164119,False
2022,petroquimica,6.371868961645498,5.30951111983315,1.0623578418123487,0.8332737461791743,0.4605642976663021,0.4105642976663021,0.5105642976663021,2.445371259857376,2.1798957038657183,2.7108468158490333,True
2023,petroquimica,6.443693632279624,5.294333494079269,1.149360138200355,0.821630232008138,0.5534612969461042,0.5034612969461042,0.6034612969461043,2.930208682098312,2.665492007394348,3.1949253568022757,True
2024,petroquimica,6.579484029835327,5.433000854723769,1.146483175111558,0.8257487714974737,0.5563315097034485,0.5063315097034484,0.6063315097034485,3.0225495677286003,2.7508995249924117,3.294199610464789,True
2020,cal,0.6,0.24125971401684865,0.35874028598315133,0.4020995233614144,0.1915927413630404,0.1436945560222803,0.2415161432429584,0.04622360998895117,0.03466770749171338,0.05826811564924839,False
2021,cal,0.6,0.2038188935318809,0.39618110646811905,0.3396981558864682,0.1827830824545926,0.1370873118409445,0.2335227037875621,0.037254645622241615,0.027940984216681224,0.04759633910055408,False
2022,cal,0.6435924189645656,0.22540338151931782,0.4181890374452479,0.3502269058450918,0.1764636756841308,0.1323477567630981,0.2257981177897678,0.0397755092145313,0.029831631910898476,0.050895659290510896,True
2023,cal,0.640644750713575,0.2027406657922216,0.43790408492135335,0.3164634777174108,0.165271738957977,0.1239538042184827,0.212479575406709,0.03350730239297851,0.02513047679473387,0.04307825058520474,True
2024,cal,0.7147911146335991,0.23786185924810843,0.47692925538549075,0.33277114723234363,0.1915927413630404,0.1436945560222803,0.2415161432429584,0.04557260567905475,0.034179454259291066,0.057447478870202566,True
2020,vidrio,2.7,1.7817333956451167,0.9182666043548836,0.6599012576463394,0.1915927413630404,0.1436945560222803,0.2415161432429584,0.34136718564972657,0.2560253892372949,0.43031737800338865,False
2021,vidrio,2.7,1.642717895804062,1.0572821041959382,0.6084140354829859,0.1827830824545926,0.1370873118409445,0.2335227037875621,0.3002610405983887,0.22519578044879163,0.3836119245883793,False
2022,vidrio,2.8961658853405456,1.8100773657322178,1.0860885196083279,0.6249909146759319,0.1764636756841308,0.1323477567630981,0.2257981177897678,0.3194129052297559,0.23955967892231692,0.40871206223619594,True
2023,vidrio,2.8829013782110877,1.8362117007378864,1.0466896774732013,0.6369318474145312,0.165271738957977,0.1239538042184827,0.212479575406709,0.30347390087593495,0.22760542565695113,0.39015748252961713,True
2024,vidrio,3.216560015851196,2.1147967820371423,1.101763233814054,0.6574715757254431,0.1915927413630404,0.1436945560222803,0.2415161432429584,0.4051797128962323,0.3038847846721742,0.5107575625402299,True
2020,mineria,2.1,2.1,0.0,1.0,0.12,0.05,0.2,0.252,0.10500000000000001,0.42000000000000004,False
2021,mineria,2.1,2.1,0.0,1.0,0.12,0.05,0.2,0.252,0.10500000000000001,0.42000000000000004,False
2022,mineria,2.0566982321506604,2.0566982321506604,0.0,1.0,0.12,0.05,0.2,0.24680378785807924,0.10283491160753302,0.4113396464301321,True
2023,mineria,1.8204807348848493,1.8204807348848493,0.0,1.0,0.12,0.05,0.2,0.21845768818618191,0.09102403674424248,0.3640961469769699,True
2024,mineria,1.9424574665025152,1.9424574665025152,0.0,1.0,0.12,0.05,0.2,0.2330948959803018,0.09712287332512576,0.38849149330050303,True
2020,papel,2.3,2.276034210295994,0.0239657897040056,0.989580091433041,0.3786352524951931,0.3286352524951931,0.4286352524951931,0.8617867879031211,0.7479850773883214,0.9755884984179208,False
2021,papel,2.3,2.2794935777731493,0.020506422226850507,0.9910841642491954,0.3975670782350192,0.3475670782350192,0.4475670782350192,0.9062516015707615,0.792276922682104,1.0202262804594189,False
