year,ets_total_mt,ets_comb_mt,ets_proc_mt,ng_in_ets_point_mt,overlap_point_mt,overlap_low_mt,overlap_high_mt,overlap_pct_of_ets
2020,271.2,229.03921615624026,42.16078384375973,166.95085693936954,62.088359216870714,52.061771576004446,72.08408050762839,0.2289393776433286
2021,273.0,230.40740910891188,42.59259089108812,168.16397592883862,62.243433180073254,52.14489925594302,72.2993938165097,0.22799792373653208
2022,275.46630900659767,229.8004046901836,45.665904316414085,167.05514314480303,62.74526154538057,52.574592458076694,72.87033246146802,0.2277783507233829
2023,274.00004256189845,228.79688369575993,45.20315886613856,169.054580018721,59.74230367703893,49.65157241600238,69.7867508497362,0.21803757079177366
