broad_category,central_KtCO2e,low_KtCO2e,high_KtCO2e
AFOLU,3511.7,3319.6,3703.8
ELECTRICITY,5606.9,5300.2,5913.6
FUGITIVE,0.0,0.0,0.0
IPPU,4639.6,4385.7,4893.5
MANUFACTURING,6111.1,5776.8,6445.4
OTHER_SECTORS,3425.1,3237.7,3612.5
TRANSPORT,7309.8,6910.0,7709.6
WASTE,5780.8,5464.6,6097.0
