estimate,total,gross_S,gross_F,gross_E,dedup_union,dedup_pct
low,34394.7,16404.7,13534.2,4877.3,25266.1,73.5
central,36385.0,17354.1,14317.3,8599.3,26728.2,73.5
high,38375.3,18303.5,15100.4,12697.7,28190.3,73.5
