source_type,category,subcategory,CO2_Mg,CH4_Mg,N2O_Mg,CN_Mg,notes,CO2_GgCO2e,CH4_GgCO2e,N2O_GgCO2e,total_GgCO2e,HFC_PFC_SF6_GgCO2e,hfc_data_gap,biogenic_co2,ipcc_sector,in_S,f_frac_central,f_frac_low,f_frac_high,e_frac_central,e_frac_low,e_frac_high,scope_note,S_F_E_central,S_E_only_central,S_F_only_central,S_only_central,F_only_central,F_E_only_central,E_only_central,uncovered_central,S_F_E_low,S_E_only_low,S_F_only_low,S_only_low,F_only_low,F_E_only_low,E_only_low,uncovered_low,S_F_E_high,S_E_only_high,S_F_only_high,S_only_high,F_only_high,F_E_only_high,E_only_high,uncovered_high,year,scenario,S_F_E_computed,S_E_only_computed,S_F_only_computed,S_only_computed,F_only_computed,F_E_only_computed,E_only_computed,uncovered_computed
FIXED,Alimentos_y_bebidas,,292319.1,0.2,0.3,0.2,Annex IV; sugar mills dominant; bagasse combustion biogenic excluded,292.3191,0.0056,0.0794999999999999,243.90369089713946,0.0,True,False,manufacturing_food_bev,True,0.9,0.8,0.98,0.7,0.5,0.9,Fixed Alimentos_y_bebidas: F=0.90; E=0.7,184.21464600000002,20.468293999999993,78.94913400000002,8.772126,0.0,0.0,0.0,0.0,116.96168,29.240419999999993,116.96168,29.240419999999993,0.0,0.0,0.0,0.0,257.9005044,5.263275600000005,28.65561159999999,0.5848084000000005,0.0,0.0,0.0,0.0,2026,low,97.56147635885578,24.39036908971394,97.56147635885578,24.39036908971394,0.0,0.0,0.0,0.0
FIXED,Alimentos_y_bebidas,,292319.1,0.2,0.3,0.2,Annex IV; sugar mills dominant; bagasse combustion biogenic excluded,292.3191,0.0056,0.0794999999999999,441.8428218964366,0.0,True,False,manufacturing_food_bev,True,0.9,0.8,0.98,0.7,0.5,0.9,Fixed Alimentos_y_bebidas: F=0.90; E=0.7,184.21464600000002,20.468293999999993,78.94913400000002,8.772126,0.0,0.0,0.0,0.0,116.96168,29.240419999999993,116.96168,29.240419999999993,0.0,0.0,0.0,0.0,257.9005044,5.263275600000005,28.65561159999999,0.5848084000000005,0.0,0.0,0.0,0.0,2026,high,389.70536891265704,7.953170794135866,43.30059654585077,0.8836856437928737,0.0,0.0,0.0,0.0
FIXED,Accesorios_electricos,,0.0,0.0,0.0,0.0,Annex IV; negligible GHG,0.0,0.0,0.0,0.0,0.0,True,False,manufacturing_electrical,True,0.9,0.8,0.97,0.25,0.1,0.45,Fixed other manufacturing: F=0.90; E=0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,central,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIXED,Accesorios_electricos,,0.0,0.0,0.0,0.0,Annex IV; negligible GHG,0.0,0.0,0.0,0.0,0.0,True,False,manufacturing_electrical,True,0.9,0.8,0.97,0.25,0.1,0.45,Fixed other manufacturing: F=0.90; E=0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIXED,Accesorios_electricos,,0.0,0.0,0.0,0.0,Annex IV; negligible GHG,0.0,0.0,0.0,0.0,0.0,True,False,manufacturing_electrical,True,0.9,0.8,0.97,0.25,0.1,0.45,Fixed other manufacturing: F=0.90; E=0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIXED,Accesorios_electricos,,0.0,0.0,0.0,0.0,Annex IV; negligible GHG,0.0,0.0,0.0,0.0,0.0,True,False,manufacturing_electrical,True,0.9,0.8,0.97,0.25,0.1,0.45,Fixed other manufacturing: F=0.90; E=0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,central,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIXED,Accesorios_electricos,,0.0,0.0,0.0,0.0,Annex IV; negligible GHG,0.0,0.0,0.0,0.0,0.0,True,False,manufacturing_electrical,True,0.9,0.8,0.97,0.25,0.1,0.45,Fixed other manufacturing: F=0.90; E=0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIXED,Accesorios_electricos,,0.0,0.0,0.0,0.0,Annex IV; negligible GHG,0.0,0.0,0.0,0.0,0.0,True,False,manufacturing_electrical,True,0.9,0.8,0.97,0.25,0.1,0.45,Fixed other manufacturing: F=0.90; E=0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIXED,Celulosa_y_papel,,47957.1,1.6,1.6,2.3,Annex IV; combustion-only category (no calcination process),47.9571,0.0448,0.424,51.15691895479504,0.0,True,False,manufacturing_pulp_paper,True,0.82,0.7,0.92,0.8,0.6,0.95,Fixed Celulosa_y_papel: F=0.82; E=0.8,31.7673904,6.973329600000001,7.941847599999998,1.7433324,0.0,0.0,0.0,0.0,20.338877999999998,8.716662000000001,13.559251999999999,5.811108000000001,0.0,0.0,0.0,0.0,42.3242366,3.6803683999999977,2.227591400000002,0.19370360000000006,0.0,0.0,0.0,0.0,2025,central,33.55893883434555,7.366596329490488,8.389734708586383,1.8416490823726213,0.0,0.0,0.0,0.0
FIXED,Celulosa_y_papel,,47957.1,1.6,1.6,2.3,Annex IV; combustion-only category (no calcination process),47.9571,0.0448,0.424,36.65459907196597,0.0,True,False,manufacturing_pulp_paper,True,0.82,0.7,0.92,0.8,0.6,0.95,Fixed Celulosa_y_papel: F=0.82; E=0.8,31.7673904,6.973329600000001,7.941847599999998,1.7433324,0.0,0.0,0.0,0.0,20.338877999999998,8.716662000000001,13.559251999999999,5.811108000000001,0.0,0.0,0.0,0.0,42.3242366,3.6803683999999977,2.227591400000002,0.19370360000000006,0.0,0.0,0.0,0.0,2025,low,15.394931610225704,6.597827832953874,10.26328774015047,4.398551888635917,0.0,0.0,0.0,0.0
