ipcc_code,description,emissions_GgCO2e,CO2_GgCO2e,CH4_GgCO2e,N2O_GgCO2e,HFC_GgCO2e,notes,sector_group,in_S,f_frac_central,f_frac_low,f_frac_high,e_frac_central,e_frac_low,e_frac_high,scope_note,S_F_E_central,S_E_only_central,S_F_only_central,S_only_central,F_only_central,F_E_only_central,E_only_central,uncovered_central,S_F_E_low,S_E_only_low,S_F_only_low,S_only_low,F_only_low,F_E_only_low,E_only_low,uncovered_low,S_F_E_high,S_E_only_high,S_F_only_high,S_only_high,F_only_high,F_E_only_high,E_only_high,uncovered_high,year,scenario,S_F_E_computed,S_E_only_computed,S_F_only_computed,S_only_computed,F_only_computed,F_E_only_computed,E_only_computed,uncovered_computed
1A2,Industrias manufactureras y de la construccion,2128.4511462258984,2180.28,1.12,1.06,0.0,NG=36.11 PJ of 37.46 PJ fossil; strong automotive/aerospace cluster,manufacturing,True,0.04493183121786215,0.030000000000000027,0.06999999999999995,0.75,0.6,0.88,"1A2: S(all); F(non-NG ~4.5%); E(75% central, auto/aero cluster)",73.54678025853569,1563.3057197414641,24.515593419511898,521.101906580488,0.0,0.0,0.0,0.0,39.28446000000003,1270.19754,26.189640000000022,846.79836,0.0,0.0,0.0,0.0,134.4401519999999,1786.1334479999998,18.332747999999985,243.56365199999996,0.0,0.0,0.0,0.0,2026,low,38.312120632066204,1238.7585671034728,25.541413754710803,825.8390447356486,0.0,0.0,0.0,0.0
1A2,Industrias manufactureras y de la construccion,2852.401005188268,2180.28,1.12,1.06,0.0,NG=36.11 PJ of 37.46 PJ fossil; strong automotive/aerospace cluster,manufacturing,True,0.04493183121786215,0.030000000000000027,0.06999999999999995,0.75,0.6,0.88,"1A2: S(all); F(non-NG ~4.5%); E(75% central, auto/aero cluster)",73.54678025853569,1563.3057197414641,24.515593419511898,521.101906580488,0.0,0.0,0.0,0.0,39.28446000000003,1270.19754,26.189640000000022,846.79836,0.0,0.0,0.0,0.0,134.4401519999999,1786.1334479999998,18.332747999999985,243.56365199999996,0.0,0.0,0.0,0.0,2026,high,175.70790191959716,2334.4049826460787,23.96016844358143,318.3279521790107,0.0,0.0,0.0,0.0
1A3a,Aviacion civil,189.98407556187493,175.0,0.1,3.9,0.0,AIQ airport; turbosina+gas avion 2.22 PJ (estimated split from Table 8),transport,False,0.986,0.98,0.99,0.0,0.0,0.0,1A3: EXEMPT from S; F=~98.6% (all fuels except NG); E=0,0.0,0.0,0.0,0.0,176.494,0.0,0.0,2.506000000000002,0.0,0.0,0.0,0.0,175.42,0.0,0.0,3.580000000000003,0.0,0.0,0.0,0.0,177.21,0.0,0.0,1.7900000000000016,2025,central,0.0,0.0,0.0,0.0,187.32429850400868,0.0,0.0,2.6597770578662514
1A3a,Aviacion civil,175.446760611875,175.0,0.1,3.9,0.0,AIQ airport; turbosina+gas avion 2.22 PJ (estimated split from Table 8),transport,False,0.986,0.98,0.99,0.0,0.0,0.0,1A3: EXEMPT from S; F=~98.6% (all fuels except NG); E=0,0.0,0.0,0.0,0.0,176.494,0.0,0.0,2.506000000000002,0.0,0.0,0.0,0.0,175.42,0.0,0.0,3.580000000000003,0.0,0.0,0.0,0.0,177.21,0.0,0.0,1.7900000000000016,2025,low,0.0,0.0,0.0,0.0,171.9378253996375,0.0,0.0,3.508935212237503
1A3a,Aviacion civil,201.46607699000003,175.0,0.1,3.9,0.0,AIQ airport; turbosina+gas avion 2.22 PJ (estimated split from Table 8),transport,False,0.986,0.98,0.99,0.0,0.0,0.0,1A3: EXEMPT from S; F=~98.6% (all fuels except NG); E=0,0.0,0.0,0.0,0.0,176.494,0.0,0.0,2.506000000000002,0.0,0.0,0.0,0.0,175.42,0.0,0.0,3.580000000000003,0.0,0.0,0.0,0.0,177.21,0.0,0.0,1.7900000000000016,2025,high,0.0,0.0,0.0,0.0,199.45141622010004,0.0,0.0,2.014660769900002
1A3a,Aviacion civil,192.83383669530303,175.0,0.1,3.9,0.0,AIQ airport; turbosina+gas avion 2.22 PJ (estimated split from Table 8),transport,False,0.986,0.98,0.99,0.0,0.0,0.0,1A3: EXEMPT from S; F=~98.6% (all fuels except NG); E=0,0.0,0.0,0.0,0.0,176.494,0.0,0.0,2.506000000000002,0.0,0.0,0.0,0.0,175.42,0.0,0.0,3.580000000000003,0.0,0.0,0.0,0.0,177.21,0.0,0.0,1.7900000000000016,2026,central,0.0,0.0,0.0,0.0,190.13416298156878,0.0,0.0,2.699673713734245
1A3a,Aviacion civil,174.56952680881562,175.0,0.1,3.9,0.0,AIQ airport; turbosina+gas avion 2.22 PJ (estimated split from Table 8),transport,False,0.986,0.98,0.99,0.0,0.0,0.0,1A3: EXEMPT from S; F=~98.6% (all fuels except NG); E=0,0.0,0.0,0.0,0.0,176.494,0.0,0.0,2.506000000000002,0.0,0.0,0.0,0.0,175.42,0.0,0.0,3.580000000000003,0.0,0.0,0.0,0.0,177.21,0.0,0.0,1.7900000000000016,2026,low,0.0,0.0,0.0,0.0,171.0781362726393,0.0,0.0,3.491390536176316
1A3a,Aviacion civil,207.5100592997,175.0,0.1,3.9,0.0,AIQ airport; turbosina+gas avion 2.22 PJ (estimated split from Table 8),transport,False,0.986,0.98,0.99,0.0,0.0,0.0,1A3: EXEMPT from S; F=~98.6% (all fuels except NG); E=0,0.0,0.0,0.0,0.0,176.494,0.0,0.0,2.506000000000002,0.0,0.0,0.0,0.0,175.42,0.0,0.0,3.580000000000003,0.0,0.0,0.0,0.0,177.21,0.0,0.0,1.7900000000000016,2026,high,0.0,0.0,0.0,0.0,205.43495870670301,0.0,0.0,2.0751005929970017
1A3b,Transporte terrestre,2437.2409622067053,2249.38,7.08,39.87,0.0,Gasolina 19.45+Diesel 7.03+GLP 1.47+GN 0.60 PJ (Table 12),transport,False,0.986,0.98,0.99,0.0,0.0,0.0,1A3: EXEMPT from S; F=~98.6% (all fuels except NG); E=0,0.0,0.0,0.0,0.0,2264.18138,0.0,0.0,32.14862000000003,0.0,0.0,0.0,0.0,2250.4033999999997,0.0,0.0,45.926600000000036,0.0,0.0,0.0,0.0,2273.3667,0.0,0.0,22.963300000000018,2025,central,0.0,0.0,0.0,0.0,2403.1195887358112,0.0,0.0,34.12137347089391
1A3b,Transporte terrestre,2250.746702770206,2249.38,7.08,39.87,0.0,Gasolina 19.45+Diesel 7.03+GLP 1.47+GN 0.60 PJ (Table 12),transport,False,0.986,0.98,0.99,0.0,0.0,0.0,1A3: EXEMPT from S; F=~98.6% (all fuels except NG); E=0,0.0,0.0,0.0,0.0,2264.18138,0.0,0.0,32.14862000000003,0.0,0.0,0.0,0.0,2250.4033999999997,0.0,0.0,45.926600000000036,0.0,0.0,0.0,0.0,2273.3667,0.0,0.0,22.963300000000018,2025,low,0.0,0.0,0.0,0.0,2205.731768714802,0.0,0.0,45.01493405540416
