ipcc_code,description,emissions_GgCO2e,CO2_GgCO2e,CH4_GgCO2e,N2O_GgCO2e,HFC_GgCO2e,notes,sector_group,in_S,f_frac_central,f_frac_low,f_frac_high,e_frac_central,e_frac_low,e_frac_high,scope_note,S_F_E_central,S_E_only_central,S_F_only_central,S_only_central,F_only_central,F_E_only_central,E_only_central,uncovered_central,S_F_E_low,S_E_only_low,S_F_only_low,S_only_low,F_only_low,F_E_only_low,E_only_low,uncovered_low,S_F_E_high,S_E_only_high,S_F_only_high,S_only_high,F_only_high,F_E_only_high,E_only_high,uncovered_high
1A2j,Madera y productos de la madera,127.8,121.59,2.75,3.47,0.0,Durango is Mexico top lumber producer; distributed,manufacturing,True,0.29000000000000004,0.22999999999999998,0.35,0.4,0.2,0.6,1A2 manuf: S(all); F(non-NG ~29% central); E(subsector-specific),14.824800000000003,36.2952,22.2372,54.4428,0.0,0.0,0.0,0.0,5.8788,19.681200000000004,23.5152,78.72480000000002,0.0,0.0,0.0,0.0,26.837999999999997,49.842000000000006,17.892,33.228,0.0,0.0,0.0,0.0
1A2k,Construccion,3.11,3.09,0.01,0.02,0.0,,manufacturing,True,0.29000000000000004,0.22999999999999998,0.35,0.2,0.05,0.4,1A2 manuf: S(all); F(non-NG ~29% central); E(subsector-specific),0.18038,0.44162,0.72152,1.76648,0.0,0.0,0.0,0.0,0.035765,0.119735,0.6795349999999999,2.274965,0.0,0.0,0.0,0.0,0.43539999999999995,0.8086000000000001,0.6530999999999999,1.2129,0.0,0.0,0.0,0.0
1A2l,Textiles y cueros,12.8,12.79,0.01,0.01,0.0,,manufacturing,True,0.29000000000000004,0.22999999999999998,0.35,0.3,0.1,0.5,1A2 manuf: S(all); F(non-NG ~29% central); E(subsector-specific),1.1136000000000001,2.7263999999999995,2.5984000000000003,6.361599999999999,0.0,0.0,0.0,0.0,0.2944,0.9856000000000003,2.6496,8.870400000000002,0.0,0.0,0.0,0.0,2.2399999999999998,4.16,2.2399999999999998,4.16,0.0,0.0,0.0,0.0
1A2m,Industria no especificada,17.25,17.23,0.01,0.01,0.0,,manufacturing,True,0.29000000000000004,0.22999999999999998,0.35,0.4,0.2,0.6,1A2 manuf: S(all); F(non-NG ~29% central); E(subsector-specific),2.0010000000000003,4.899,3.0015,7.348499999999999,0.0,0.0,0.0,0.0,0.7935,2.6565000000000003,3.174,10.626000000000001,0.0,0.0,0.0,0.0,3.6224999999999996,6.7275,2.415,4.485,0.0,0.0,0.0,0.0
1A3a,Aviacion civil,22.63,22.46,0.0,0.16,0.0,,transport,False,1.0,1.0,1.0,0.0,0.0,0.0,1A3: EXEMPT from Durango state tax; F=100% (gasoline/diesel/jet); E=0,0.0,0.0,0.0,0.0,22.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.63,0.0,0.0,0.0
1A3b,Transporte terrestre,2865.61,2764.05,14.98,86.58,0.0,479139 vehicles; gasoline dominant,transport,False,1.0,1.0,1.0,0.0,0.0,0.0,1A3: EXEMPT from Durango state tax; F=100% (gasoline/diesel/jet); E=0,0.0,0.0,0.0,0.0,2865.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2865.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2865.61,0.0,0.0,0.0
1A3c,Ferrocarriles,4.76,4.31,0.01,0.45,0.0,,transport,False,1.0,1.0,1.0,0.0,0.0,0.0,1A3: EXEMPT from Durango state tax; F=100% (gasoline/diesel/jet); E=0,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0
1A4a,Comercial e institucional,69.67,69.44,0.18,0.06,0.0,,other_energy,True,0.85,0.75,0.9,0.0,0.0,0.0,"1A4a/b: S(all); F(LPG+diesel, ~85% central, NG~15% exempt); E=0",0.0,0.0,59.2195,10.450500000000002,0.0,0.0,0.0,0.0,0.0,0.0,52.2525,17.4175,0.0,0.0,0.0,0.0,0.0,0.0,62.703,6.966999999999999,0.0,0.0,0.0,0.0
1A4b,Residencial,83.28,49.57,29.93,3.78,0.0,LPG drives GHG; fuelwood drives energy use,other_energy,True,0.85,0.75,0.9,0.0,0.0,0.0,"1A4a/b: S(all); F(LPG+diesel, ~85% central, NG~15% exempt); E=0",0.0,0.0,70.788,12.492000000000003,0.0,0.0,0.0,0.0,0.0,0.0,62.46,20.82,0.0,0.0,0.0,0.0,0.0,0.0,74.952,8.327999999999998,0.0,0.0,0.0,0.0
1A4c,Agricultura,0.8,0.8,0.0,0.0,0.0,Combustion in agricultural sector,other_energy,False,0.9,0.8,0.95,0.0,0.0,0.0,1A4c: Durango ag exempt; F=90% central (mostly diesel); E=0,0.0,0.0,0.0,0.0,0.7200000000000001,0.0,0.0,0.07999999999999999,0.0,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.15999999999999998,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.040000000000000036
1A5,Sector no especificado,0.5,0.49,0.0,0.0,0.0,,non_specified,True,0.5,0.30000000000000004,0.7,0.0,0.0,0.0,"1A5: S(all); F(50% central non-NG, high uncertainty); E=0",0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.15000000000000002,0.0,0.0,0.0,0.0
1B2a,Petroleo,0.09,0.09,0.0,0.0,0.0,,fugitive,True,0.0,0.0,0.0,0.5,0.3,0.7,"1B2: S(all, CH4 from NG infra); F=0 (upstream tax N/A for fugitives); E(50% central)",0.0,0.045,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.027,0.0,0.063,0.0,0.0,0.0,0.0,0.0,0.063,0.0,0.027000000000000003,0.0,0.0,0.0,0.0
1B2b,Gas natural,102.68,0.06,102.62,0.0,0.0,Almost entirely CH4,fugitive,True,0.0,0.0,0.0,0.5,0.3,0.7,"1B2: S(all, CH4 from NG infra); F=0 (upstream tax N/A for fugitives); E(50% central)",0.0,51.34,0.0,51.34,0.0,0.0,0.0,0.0,0.0,30.804000000000002,0.0,71.876,0.0,0.0,0.0,0.0,0.0,71.876,0.0,30.804000000000006,0.0,0.0,0.0,0.0
2C2,Produccion de ferroaleaciones,48.9,47.76,1.15,0.0,0.0,Large facilities likely above ETS threshold,piup_metals,True,0.0,0.0,0.0,0.9,0.7,1.0,"2C: S(process, in stationary scope); F=0 (process not fuel tax); E(90% central)",0.0,44.01,0.0,4.889999999999999,0.0,0.0,0.0,0.0,0.0,34.23,0.0,14.670000000000002,0.0,0.0,0.0,0.0,0.0,48.9,0.0,0.0,0.0,0.0,0.0,0.0
2C5,Produccion de plomo,0.59,0.59,0.0,0.0,0.0,,piup_metals,True,0.0,0.0,0.0,0.9,0.7,1.0,"2C: S(process, in stationary scope); F=0 (process not fuel tax); E(90% central)",0.0,0.531,0.0,0.05899999999999998,0.0,0.0,0.0,0.0,0.0,0.413,0.0,0.17700000000000002,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0
2D1,Uso de lubricantes,0.3,0.3,0.0,0.0,0.0,,piup_lubricants,True,1.0,1.0,1.0,0.0,0.0,0.0,"2D: S(lubricants, stationary); F=1.0 (fossil non-NG carbon); E=0",0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
2F1a_res,Refrigeracion y AC sector residencial,11.56,0.0,0.0,0.0,11.56,,piup_hfcs,True,0.0,0.0,0.0,0.0,0.0,0.0,"2F: S(HFCs from AC/refrigeration, stationary); F=0; E=0",0.0,0.0,0.0,11.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.56,0.0,0.0,0.0,0.0
2F1a_com,Refrigeracion y AC sector comercios y servicios,53.65,0.0,0.0,0.0,53.65,,piup_hfcs,True,0.0,0.0,0.0,0.0,0.0,0.0,"2F: S(HFCs from AC/refrigeration, stationary); F=0; E=0",0.0,0.0,0.0,53.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.65,0.0,0.0,0.0,0.0
2F1a_ind,Refrigeracion y AC sector industrial,1.84,0.0,0.0,0.0,1.84,,piup_hfcs,True,0.0,0.0,0.0,0.0,0.0,0.0,"2F: S(HFCs from AC/refrigeration, stationary); F=0; E=0",0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.0
3A1,Fermentacion enterica,2983.73,0.0,2983.73,0.0,0.0,,afolu,False,0.0,0.0,0.0,0.0,0.0,0.0,ASOUT: exempt from all three instruments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2983.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2983.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2983.73
3A2,Manejo de excretas,559.11,0.0,247.81,311.3,0.0,,afolu,False,0.0,0.0,0.0,0.0,0.0,0.0,ASOUT: exempt from all three instruments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.11
3C1,Quema de biomasa,370.25,0.0,243.24,127.0,0.0,,afolu,False,0.0,0.0,0.0,0.0,0.0,0.0,ASOUT: exempt from all three instruments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.25
