year,oil_pj,gas_pj,coal_pj,co2_direct_central_mt,co2_direct_sensitivity_mt,ng_share_central,ng_share_sensitivity
2020,104.53,51.12,9.53,14.968375000000002,11.874287,0.1915927413630404,0.24151614324295848
2021,112.31,49.85,5.06,15.300021000000001,11.975645,0.18278308245459268,0.23352270378756215
2022,112.31,47.86,5.34,15.215290000000001,11.890914,0.17646367568413088,0.22579811778976788
2023,118.27,46.42,5.18,15.75685,12.256058000000001,0.165271738957977,0.21247957540670906
