year,1A1a,1A1b,1A1cii,1A2a,1A2b,1A2c,1A2d,1A2e,1A2g,1A2i,1A2miii,1A_total,2A1,2A2,2A3,2A4,2B1,2B8,2C1,2C2,2H1,1B2
2014,143.414329124584,13.4545857374927,26.422738504988303,2.7839066894798146,1.3360855194697299,5.0801699252633545,1.9973061111971708,0.5762869028589328,0.43223774686183497,7.8464855689806665,34.45452586181976,411.73497217339377,18.190160964992003,3.103815718575904,0.5772761161128082,5.042409051339063,1.0416857553203323,1.597411507506656,19.53553736,0.3185519,0.05171176841355736,17.460365630000002
2015,145.429650796019,11.7969208106796,26.422738504988303,4.286950490822562,1.5376463438907666,4.651278265237056,2.3657255840098483,0.5580382640694581,0.4499215783017374,9.292397469394691,39.39982338556257,455.22260412554414,19.073897900296004,3.0870391771758086,0.6362401826282167,4.560232079598281,0.6897487112194748,1.5160956233876919,17.864242079999997,0.267803,0.05792557967063533,16.04474424
2016,171.549436172802,12.702299681423,25.8937979536815,5.208451768653483,1.547236862314684,4.784214227450507,2.8247434671753004,0.5892385370237946,0.47078182959175185,6.487618920885848,35.38257536615372,483.1158488453618,19.637318905072004,3.4722212003331734,0.6954650537569017,4.692467822369413,0.6385332954599915,1.2963375463101379,17.58954,0.297839,0.03646089,18.08575098
2017,164.315188775368,10.8295980597646,23.2699375783746,4.5081329077003875,1.695970457797298,4.975677504682466,2.603185738340374,0.606992697070192,0.45085305102440487,6.607885384069185,43.02943546865568,472.9497244531591,19.662370614576,3.832386745240664,0.6820731658561064,4.494383519723362,0.5988880468584605,1.9908372329966941,18.18427,0.324412,0.034792485,10.921457160000001
2018,167.973687354798,9.21734561047803,20.6195585013744,6.404560050527451,1.6567660829111537,6.010781830114842,2.6296267488500797,0.6504576877307845,0.5689542157030263,7.519959108873782,32.26709283778951,476.8257177781479,19.375977810488,3.9240341930895966,0.95260415697821,6.571213673197879,0.18098256,2.091321558,18.24104,0.336741,0.035529559999999995,10.976290220000001
2019,170.956119944837,10.2386779676589,20.548890583958997,7.520596636846247,2.104908955845756,6.708602761764304,2.953969485412841,0.749927758513949,0.665922886309787,11.664373785923491,29.965178958366685,469.4932163528892,19.411143680800002,4.071177930991053,1.148018148787223,6.288247210679852,0.0,1.8048476499999997,16.88461,0.310711,0.02779876,12.35701073
2020,147.50115202407,8.48701520687283,17.6801978581429,5.574174752129921,2.0140950312315846,5.325350976227786,2.3993960236888263,0.5147026947695527,0.4869276187463636,20.249495520276163,23.552372757606054,385.68868886205655,19.337553132000007,2.99485154596015,1.0380207328983841,7.308565254110164,0.16342485456,1.7339041704887088,12.92124342,0.281163,0.0252647435,15.736291074047536
2021,141.212165209267,9.49040164535865,15.6972769483998,5.641502786750199,1.7121362860433578,5.756755543871624,3.006287822595709,2.09606795760492,0.6806560371212199,17.43167638822954,29.280853417911818,423.79344889597274,19.560928988,3.328033218484589,1.101961,5.561476481682618,0.29234436528,1.5124533448524269,14.068588759999999,0.332429,0.0270446945,17.694088279171837
2022,136.00274702728,10.343878111687001,14.6057064750785,6.861002472385487,1.8365298898860867,6.435314380662501,3.2930890764742533,2.2745131784604427,0.7173737153944717,17.072237148140047,27.195002294753618,426.77950817767,19.7100740432,3.407298780143048,1.1019606493537637,5.585648218469946,0.33292760688000006,1.287615101,13.544621335,0.3403426,0.033665258,22.14693233021511
2023,133.691564043,10.251174,13.968298,7.279705134976247,1.8281185402665217,6.50785421765544,3.2343349225215965,2.3367796041302515,0.8231249005795469,15.11144335310428,21.624800541414437,418.8662951529214,19.77756865,3.948594,1.04207636,5.380663,0.24736360699999999,1.412806396,11.01148657,0.27877840000000004,0.0318207296,18.505132985694
2024,148.478115113,10.251174,13.968298,6.54814929289894,2.0396996738426036,6.64499669553848,2.972327473889342,2.5844758287513474,0.8028052986116826,16.123947597129554,22.70864352358307,435.82687855955635,19.99140225,4.089737,1.06263927,5.422567,0.25074834,1.4022410660000002,8.51712141,0.2774465,0.0315332336,18.505132985694
