year,scenario,state_total_GgCO2e,gwp_basis,S_gross_GgCO2e,S_pct,F_gross_GgCO2e,F_pct,E_gross_GgCO2e,E_pct,S_F_E_GgCO2e,S_F_E_pct,S_E_only_GgCO2e,S_E_only_pct,S_F_only_GgCO2e,S_F_only_pct,S_only_GgCO2e,S_only_pct,F_only_GgCO2e,F_only_pct,F_E_only_GgCO2e,F_E_only_pct,E_only_GgCO2e,E_only_pct,uncovered_GgCO2e,uncovered_pct,union_GgCO2e,union_pct,S_F_overlap,S_E_overlap,estimation_tier,notes
2007-2014 avg,central,23330.720185250004,AR5,13983.971034625,59.938017016147896,11287.177830538873,48.3790373418253,11458.058632812501,49.111465663440775,4776.398642445121,20.47257266179389,6681.65999036738,28.63889300164688,1560.9777938750003,6.690654131036519,964.9346079375,4.135897221670614,4949.80139421875,21.215810548994888,0.0,0.0,0.0,0.0,4396.94775640625,18.846172434857195,18933.77242884375,81.15382756514279,6337.376436320122,11458.058632812501,Tier 3,Base year 2007-2014 annual avg; SAR->AR5 converted; no extrapolation; no HFC data
2007-2014 avg,low,23330.720185250004,AR5,13713.759613687502,58.779838362458804,10177.06823571875,43.62089191808502,10371.09868249375,44.4525441141354,3552.08956236875,15.22494605466328,6819.009120125001,29.227598059472122,1661.6667080843756,7.1222263817424025,1680.9942231093755,7.205067866581001,4963.311965265625,21.273719481679343,0.0,0.0,0.0,0.0,4653.648606296875,19.946442155861842,18677.071578953128,80.05355784413815,5213.756270453126,10371.09868249375,Tier 3,Base year 2007-2014 annual avg; SAR->AR5 converted; no extrapolation; no HFC data
2007-2014 avg,high,23330.720185250004,AR5,14254.182455562504,61.096195669837016,12133.560827593752,52.00679932402924,12024.583998631253,51.53970346030449,5577.673277881251,23.906991441299493,6446.910720750001,27.63271201900499,1673.639010728125,7.17354199715713,555.959446203125,2.3829502123753987,4882.248538984375,20.92626588557261,0.0,0.0,0.0,0.0,4194.289190703125,17.977538444590373,19136.430994546878,82.02246155540962,7251.312288609376,12024.583998631253,Tier 3,Base year 2007-2014 annual avg; SAR->AR5 converted; no extrapolation; no HFC data
